ITEM,Item_Point,Mcc_Category,Manufacture,Gender_Ratio,Average_Age,Item_Level,Click_CNT,Product_Index_Log,Mcc_rank,First_ID,IS_Active
水事紀麥飯石礦泉水PET600,300,超市/量販,7-11,0.299564270152505,40,2,459,A02_41_201610,20,A02_41_201610,1
凍頂烏龍茶(大杯),1033,餐飲,喜客券翰林茶棧 ,0.351778656126482,35,4,253,A02_13_201608,23,A02_13_201608,1
嘉紛娜果之肌苦瓜水,583,超市/量販,7-11,0.247126436781609,44,3,87,A12_24_201606,20,A12_24_201606,1
香草烤雞腿+炸雞+四季春冰茶(L)乙份,3067,餐飲,21風味館,0.258241758241758,41,5,182,A02_58_201608,23,A02_43_201606,1
中友百貨,1000,百貨,中友百貨,0.266094420600858,35,3,233,A08_29_201606,5,A08_29_201606,1
森森百貨,1000,百貨,森森百貨,0.297687861271676,41,3,173,A08_16_201606,5,A08_16_201606,1
勁爆雞米花 (小)乙份,683,餐飲,KFC,0.276729559748428,38,3,159,A02_91_201610,23,A02_6_201606,1
京華城,1000,百貨,京華城,0.34453781512605,38,3,119,A08_12_201606,5,A08_12_201606,1
100元抵用券乙份,1667,百貨,統一時代百貨,0.182170542635659,38,4,129,A02_94_201610,5,A02_94_201610,1
台茂購物中心,1000,百貨,台茂購物,0.296380090497738,37,3,221,A08_22_201606,5,A08_22_201606,1
香脆炸雞+小薯霸乙份,1683,餐飲,21風味館,0.253086419753086,38,4,162,A02_38_201608,23,A02_22_201606,1
PAYEASY,1000,一般購物(其他),PAYEASY,0.480769230769231,38,3,26,A08_71_201606,14,A08_71_201606,1
歐夏蕾薄荷巧克力脆皮雪糕,583,超市/量販,7-11,0.25,41,3,114,A12_22_201606,20,A12_22_201606,1
翰林奶茶(大杯),1033,餐飲,喜客券翰林茶棧 ,0.29940119760479,36,4,167,A02_11_201608,23,A02_11_201608,1
熊貓珍奶(大杯),1117,餐飲,喜客券翰林茶棧 ,0.248677248677249,37,4,189,A02_16_201608,23,A02_16_201608,1
牛丼(大)乙份,1933,餐飲,吉野家,0.262222222222222,39,4,225,A02_48_201608,23,A02_34_201606,1
台灣高鐵升等商務車廂,48000,交通/運輸,高鐵升等,0.293274742071074,38,5,2617,A03_12_201606,3,A03_12_201606,1
金典綠園道商場,1000,百貨,金典綠園道商場,0.25,38,3,36,A08_26_201606,5,A08_26_201606,1
1000元乙份即享券,16717,餐飲,太平洋SOGO百貨,0.231481481481481,43,5,702,A02_81_201608,23,A02_53_201606,1
百吉布丁大雪糕,333,超市/量販,7-11,0.211734693877551,44,2,196,A12_9_201606,20,A12_9_201606,1
冰紅茶(M)乙份,617,餐飲,摩斯漢堡,0.264392324093817,39,3,469,A02_4_201608,23,A02_4_201606,1
iseLect100蘋果汁,633,超市/量販,7-11,0.227906976744186,44,3,215,A12_27_201606,20,A12_27_201606,1
TreeMall,1000,一般購物(其他),TreeMall,0.220547945205479,42,3,365,A08_59_201606,14,A08_59_201606,1
品田牧場元氣套餐乙份,6133,餐飲,王品集團,0.25609756097561,40,5,410,A02_65_201608,23,A02_65_201608,1
薯星星乙份(二十顆),1033,餐飲,PizzaHut,0.22156862745098,41,4,255,A02_9_201608,23,A02_9_201606,1
六吋個人夏威夷口味比薩乙份,1333,餐飲,PizzaHut,0.174672489082969,40,4,458,A02_26_201608,23,A02_17_201606,1
茶葉蛋,167,超市/量販,7-11,0.220622310493214,43,1,3021,A12_7_201606,20,A12_7_201606,1
陶板屋和風創作料理套餐乙份,10267,餐飲,王品集團,0.222314049586777,44,5,605,A02_72_201608,23,A02_72_201608,1
活力早餐厚吐司加蛋(附60元飲料)乙份,1317,餐飲,怡客咖啡,0.224242424242424,43,4,165,A02_25_201608,23,A02_16_201606,1
宜蘭蘭城新月廣場,1000,百貨,新月廣場,0.34493670886076,38,3,158,A08_20_201606,5,A08_20_201606,1
Hyread讀享樂,135,教育/學費,Hyread讀享樂,0.232722731057452,44,1,1201,A05_1_201606,13,A05_1_201606,1
CITYLINK,1000,百貨,CITYLINK,0.347222222222222,40,3,36,A08_36_201606,5,A08_36_201606,1
可口可樂PET600.,483,超市/量販,7-11,0.368881118881119,41,2,286,A12_20_201606,20,A12_20_201606,1
京站時尚廣場,1000,百貨,京站,0.25632183908046,34,3,435,A08_7_201606,5,A08_7_201606,1
統一阪急百貨,1000,百貨,統一阪急,0.305522208883553,35,3,1666,A08_14_201606,5,A08_14_201606,1
蜜汁烤雞堡+薯條(L)+冰紅茶(L)乙份,2500,餐飲,摩斯漢堡,0.24468085106383,41,5,470,A02_55_201608,23,A02_39_201606,1
統一阪急百貨,1000,百貨,統一阪急,0.305522208883553,35,3,1666,A08_1_201606,5,A08_1_201606,1
耐斯松屋百貨,1000,百貨,耐斯松屋百貨,0.16025641025641,36,3,78,A08_28_201606,5,A08_28_201606,1
太平洋崇光百貨,1000,百貨,SOGO,0.240126767430522,38,3,2051,A08_2_201606,5,A08_2_201606,1
原創黑珍珠奶茶(大杯),1117,餐飲,喜客券翰林茶棧 ,0.268722466960352,37,4,227,A02_17_201608,23,A02_17_201608,1
伯朗拿鐵-大/熱 ,1883,餐飲,喜客券伯朗咖啡館 ,0.277777777777778,42,4,99,A02_44_201608,23,A02_44_201608,1
詮營市區停車,550,交通/運輸,停車,0.423076923076923,38,3,117,A03_9_201606,3,A03_9_201606,1
裕榮蝦味先(大),417,超市/量販,7-11,0.206422018348624,42,2,109,A12_15_201606,20,A12_15_201606,1
波士頓派(切片),550,餐飲,喜客券布列德,0.316901408450704,40,3,284,A02_3_201608,23,A02_3_201608,1
漢神百貨,1000,百貨,漢神,0.254545454545455,36,3,110,A08_31_201606,5,A08_31_201606,1
摩斯漢堡+冰紅茶(L)乙份,1767,餐飲,摩斯漢堡,0.224890829694323,38,4,229,A02_41_201608,23,A02_27_201606,1
可樂果豌豆酥大,417,超市/量販,7-11,0.256493506493507,44,2,308,A12_16_201606,20,A12_16_201606,1
鐵觀音奶茶(大杯),1117,餐飲,喜客券翰林茶棧 ,0.271739130434783,40,4,92,A02_19_201608,23,A02_19_201608,1
杜老爺曠世奇派雪糕,583,超市/量販,7-11,0.267782426778243,42,3,239,A12_23_201606,20,A12_23_201606,1
環球購物中心,1000,百貨,環球購物,0.28169014084507,36,3,142,A08_35_201606,5,A08_35_201606,1
雞丼乙份,1517,餐飲,吉野家,0.279816513761468,40,4,218,A02_31_201608,23,A02_19_201606,1
夏慕尼新香榭鐵板燒套餐乙份,18550,餐飲,王品集團,0.258035172832019,43,5,1649,A02_83_201608,23,A02_54_201606,1
檸檬蛋糕,433,餐飲,喜客券布列德,0.253711201079622,39,2,741,A02_1_201608,23,A02_1_201608,1
卡辣姆久V感厚切洋芋片,417,超市/量販,7-11,0.265027322404372,38,2,183,A02_44_201610,20,A02_44_201610,1
火腿歐姆蛋堡+冰紅茶(L)乙份,1200,餐飲,摩斯漢堡,0.199127906976744,39,4,344,A02_20_201608,23,A02_11_201606,1
雋愛禮盒兌換券,1350,餐飲,詩特莉,0.152397260273973,37,4,292,A02_27_201608,23,A02_27_201608,1
本日咖啡-大/熱,1417,餐飲,喜客券伯朗咖啡館 ,0.290322580645161,40,4,62,A02_29_201608,23,A02_29_201608,1
伯朗咖啡CAN240,383,超市/量販,7-11,0.259825327510917,42,2,229,A02_42_201610,20,A02_42_201610,1
24TPS市區停車,550,交通/運輸,停車,0.369731800766284,38,3,261,A03_7_201606,3,A03_7_201606,1
香草烤半雞+四季春冰茶(L)乙份,3800,餐飲,21風味館,0.307277628032345,38,5,371,A02_63_201608,23,A02_45_201606,1
磅蛋糕禮盒兌換券,6250,餐飲,詩特莉,0.238095238095238,41,5,210,A02_66_201608,23,A02_66_201608,1
100元即享券乙份,1583,餐飲,翰林茶棧,0.225340817963111,40,4,1247,A02_92_201610,23,A02_39_201608,1
Airwaves極酷嗆涼,650,超市/量販,7-11,0.285425101214575,41,3,247,A12_28_201606,20,A12_28_201606,1
BBQueen女人購物網,1000,美容/美髮/保養,BBQueen女人購物網,0.230769230769231,41,3,13,A08_67_201606,9,A08_67_201606,1
五福旅行社,1000,旅遊,五福旅行社,0.205882352941176,36,3,34,A08_79_201606,11,A08_79_201606,1
薑燒珍珠堡+薯條(L)+冰紅茶(L)乙份,2500,餐飲,摩斯漢堡,0.210862619808307,41,5,313,A02_56_201608,23,A02_40_201606,1
嘟嘟房市區停車,550,交通/運輸,停車,0.348602022605592,37,3,1681,A03_5_201606,3,A03_5_201606,1
新光影城,1000,休閒,新光影城,0.3251960085531,35,3,5612,A04_2_201606,4,A04_2_201606,1
香草集,1000,美容/美髮/保養,香草集,0.204545454545455,35,3,22,A08_43_201606,9,A08_43_201606,1
三商百貨,1000,百貨,三商百貨,0.25974025974026,41,3,77,A08_18_201606,5,A08_18_201606,1
EZFLY易飛網,1000,旅遊,EZFLY易飛網,0.311111111111111,36,3,45,A08_80_201606,11,A08_80_201606,1
青箭口香糖(7片條裝),167,超市/量販,7-11,0.32398753894081,41,1,321,A12_3_201606,20,A12_3_201606,1
薑燒珍珠堡+冰紅茶(L)乙份,1767,餐飲,摩斯漢堡,0.16452442159383,41,4,389,A02_40_201608,23,A02_26_201606,1
1塊?啦脆雞+冰紅茶(小)乙份,1283,餐飲,KFC,0.5,35,4,0,A02_87_201610,23,A02_14_201606,1
酸梅汁(大杯),1033,餐飲,喜客券翰林茶棧 ,0.252525252525253,37,4,99,A02_14_201608,23,A02_14_201608,1
台灣大哥大,1000,3C通訊家電,台灣大數位,0.289377289377289,36,3,273,A08_58_201606,1,A08_58_201606,1
遠東百貨,1000,百貨,遠東,0.253642987249545,37,3,1098,A08_5_201606,5,A08_5_201606,1
雪碧汽水PET600,483,超市/量販,7-11,0.374233128834356,42,2,163,A12_21_201606,20,A12_21_201606,1
七七巧菲斯(增量版),167,超市/量販,7-11,0.291543756145526,40,1,1017,A12_1_201606,20,A12_1_201606,1
台灣電力公司電費,1000,公共事業費用,台電,0.282253269916766,40,3,3364,A06_4_201606,17,A06_4_201606,1
康是美,1000,超市/量販,康是美,0.194805194805195,37,3,231,A08_41_201606,20,A08_41_201606,1
in89豪華數位影城,1000,休閒,IN89豪華數位影城,0.341614906832298,34,3,2254,A04_3_201606,4,A04_3_201606,1
大江國際購物中心,1000,百貨,大江國際購物,0.316753926701571,35,3,191,A08_23_201606,5,A08_23_201606,1
VIVA TV,1000,一般購物(其他),VIVA TV,0.295454545454545,39,3,22,A08_64_201606,14,A08_64_201606,1
東南旅行社,1000,旅遊,東南旅行社,0.25609756097561,38,3,41,A08_78_201606,11,A08_78_201606,1
友愛百貨,1000,百貨,友愛百貨,0.24,37,3,25,A08_21_201606,5,A08_21_201606,1
EasyTravel四方通行,1000,旅遊,EasyTravel四方通行,0.287878787878788,39,3,33,A08_82_201606,11,A08_82_201606,1
主廚特選組合雙人餐乙份,18383,餐飲,勝博殿,0.28641975308642,44,5,405,A02_82_201608,23,A02_82_201608,1
中華航空里程,1000,旅遊,中華航空,0.312366281557552,38,3,2337,A03_2_201606,11,A03_2_201606,1
福華名品,1000,百貨,福華名品,0.317307692307692,39,3,52,A08_11_201606,5,A08_11_201606,1
燒肉珍珠堡+冰紅茶(L)乙份,1850,餐飲,摩斯漢堡,0.203313253012048,39,4,332,A02_43_201608,23,A02_30_201606,1
燦坤3C,1000,3C通訊家電,燦坤,0.385093167701863,40,3,161,A08_53_201606,1,A08_53_201606,1
長榮航空港澳來回機票,100000,旅遊,長榮航空,0.308946488294314,38,5,2392,A03_16_201606,11,A03_16_201606,1
長榮航空香港來回機票,75000,旅遊,長榮航空,0.28665611814346,37,5,3792,A03_15_201606,11,A03_15_201606,1
台糖量販,1000,超市/量販,台糖量販,0.214912280701754,41,3,114,A08_38_201606,20,A08_38_201606,1
?啦脆雞乙份,850,餐飲,KFC,0.5,35,3,0,A02_93_201610,23,A02_7_201606,1
日新大戲院,1000,休閒,日新大戲院,0.359475719810915,35,3,2327,A04_4_201606,4,A04_4_201606,1
大王香雞堡豪華套餐,3317,餐飲,喜客券漢堡王,0.359154929577465,39,5,142,A02_60_201608,23,A02_60_201608,1
國泰產險bobe網,1000,一般購物(其他),國泰,0.308510638297872,40,3,141,A08_60_201606,14,A08_60_201606,1
大同3C,1000,3C通訊家電,大同3C,0.294642857142857,42,3,56,A08_55_201606,1,A08_55_201606,1
福慧網市區停車,350,交通/運輸,停車,0.315040650406504,42,2,246,A03_8_201606,3,A03_8_201606,1
薯條(S),617,餐飲,摩斯漢堡,0.278378378378378,38,3,370,A02_5_201608,23,A02_5_201606,1
70元任選蛋糕(附60元飲料)乙份,1667,餐飲,怡客咖啡,0.226666666666667,40,4,75,A02_33_201608,23,A02_21_201606,1
太平洋百貨商品券,8000,百貨,SOGO,0.191842223218288,40,5,11155,A07_2_201606,5,A07_2_201606,1
新光三越百貨,1000,百貨,新光三越,0.253259141494436,35,3,3145,A08_4_201606,5,A08_4_201606,1
現金抵用券200元,3333,超市/量販,7-11,0.221036839473246,43,5,5999,A12_38_201606,20,A12_38_201606,1
日曜天地,1000,百貨,日曜天地,0.3375,35,3,40,A08_27_201606,5,A08_27_201606,1
培根雞蛋堡+冰紅茶(L),1200,餐飲,摩斯漢堡,0.254617414248021,39,4,379,A02_22_201608,23,A02_13_201606,1
博客來網路書店,1000,教育/學費,博客來,0.193627450980392,33,3,204,A08_63_201606,13,A08_63_201606,1
全國電子,1000,3C通訊家電,全國電子,0.290441176470588,42,3,136,A08_54_201606,1,A08_54_201606,1
CITYCAFE大冰美式,750,超市/量販,7-11,0.272248803827751,40,3,1045,A12_29_201606,20,A12_29_201606,1
聚 北海道昆布鍋套餐乙份,7200,餐飲,王品集團,0.235698569856986,42,5,1818,A02_68_201608,23,A02_50_201606,1
廣三SOGO百貨,1000,百貨,廣三SOGO百貨,0.253424657534247,38,3,146,A08_24_201606,5,A08_24_201606,1
套餐B二選一,1433,餐飲,丹堤咖啡,0.186224489795918,42,4,588,A02_30_201608,23,A02_18_201606,1
iseLect檸檬水420ml,450,超市/量販,7-11,0.255474452554745,39,2,137,A02_47_201610,20,A02_47_201610,1
momo百貨,1000,百貨,momo百貨,0.234646581691773,38,3,863,A08_8_201606,5,A08_8_201606,1
摩卡可可碎片法樂皮-大,2033,餐飲,喜客券伯朗咖啡館 ,0.206521739130435,38,5,92,A02_49_201608,23,A02_49_201608,1
CITYCAFE大冰拿鐵,917,超市/量販,7-11,0.253683241252302,40,3,3258,A12_35_201606,20,A12_35_201606,1
外帶冰淇淋迷你杯一入,1683,餐飲,Haagen-Dazs,0.209205020920502,37,4,239,A02_35_201608,23,A02_24_201606,1
黑松沙士PET600,483,超市/量販,7-11,0.295811518324607,44,2,191,A12_19_201606,20,A12_19_201606,1
金莎巧克力3粒裝,617,超市/量販,7-11,0.282442748091603,41,3,131,A02_52_201610,20,A02_52_201610,1
綠舍,1000,餐飲,綠舍,0.55,39,3,20,A08_47_201606,23,A08_47_201606,1
新光三越商品券,8600,百貨,新光三越,0.247103808586356,38,5,13207,A07_1_201606,5,A07_1_201606,1
康福旅行社,1000,旅遊,康福旅行社,0.22093023255814,40,3,43,A08_83_201606,11,A08_83_201606,1
7-SELECT礦泉水,450,超市/量販,7-11,0.221374045801527,41,2,131,A12_17_201606,20,A12_17_201606,1
香草烤半雞+炸雞+鮮蔬沙拉+四季春冰茶(L)x2 ,5933,餐飲,21風味館,0.289529914529915,40,5,468,A02_64_201608,23,A02_64_201608,1
500元乙份即享券,8383,餐飲,太平洋SOGO百貨,0.197885196374622,39,5,993,A02_69_201608,23,A02_69_201608,1
台灣聯通市區停車,550,交通/運輸,停車,0.341071428571429,38,3,840,A03_6_201606,3,A03_6_201606,1
太平洋百貨,1000,百貨,SOGO,0.253260123541524,36,3,1457,A08_3_201606,5,A08_3_201606,1
財團法人忠義社會福利事業基金會,1000,捐獻,財團法人忠義社會福利事業基金會,0.266666666666667,38,3,30,A08_50_201606,10,A08_50_201606,1
統領百貨,1000,百貨,統領百貨,0.366666666666667,37,3,105,A08_10_201606,5,A08_10_201606,1
華堡豪華套餐,3467,餐飲,喜客券漢堡王,0.32829373650108,38,5,463,A02_61_201608,23,A02_61_201608,1
東方航空積分,1000,旅遊,東方航空,0.298969072164948,38,3,679,A03_4_201606,11,A03_4_201606,1
義美巧克力小泡芙,467,超市/量販,7-11,0.25,44,2,154,A12_18_201606,20,A12_18_201606,1
原燒優質原味套餐乙份,11333,餐飲,王品集團,0.234126984126984,43,5,252,A02_74_201608,23,A02_74_201608,1
100元抵用券乙份(限茶館使用),1683,餐飲,天仁茶業,0.210191082802548,41,4,157,A02_34_201608,23,A02_34_201608,1
大葉高島屋百貨,1000,百貨,大葉高島屋百貨,0.277777777777778,39,3,108,A08_13_201606,5,A08_13_201606,1
順發3C,1000,3C通訊家電,順發3C,0.483606557377049,38,3,61,A08_56_201606,1,A08_56_201606,1
華山社會福利慈善事業基金會,1000,捐獻,華山社會福利慈善事業基金會,0.180555555555556,35,3,36,A08_51_201606,10,A08_51_201606,1
健達繽紛樂白巧克力,550,超市/量販,7-11,0.252577319587629,39,3,97,A02_50_201610,20,A02_50_201610,1
科學麵原味,167,超市/量販,7-11,0.263064133016627,42,1,1684,A12_6_201606,20,A12_6_201606,1
ASAP,1000,一般購物(其他),ASAP,0.5,40,3,14,A08_69_201606,14,A08_69_201606,1
美麗華,1000,百貨,美麗華,0.270676691729323,36,3,133,A08_17_201606,5,A08_17_201606,1
統一麥香紅茶TP300,167,超市/量販,7-11,0.308702175543886,38,1,1333,A12_5_201606,20,A12_5_201606,1
雅斯蘭黛,1000,美容/美髮/保養,雅斯蘭黛,0.0555555555555556,36,3,36,A08_75_201606,9,A08_75_201606,1
比漾廣場,1000,百貨,比漾廣場,0.289473684210526,38,3,323,A08_6_201606,5,A08_6_201606,1
屈臣氏,1000,超市/量販,屈臣氏,0.179372197309417,37,3,223,A08_68_201606,20,A08_68_201606,1
30天音樂體驗兌換券乙份,2433,餐飲,KKBOX,0.265567765567766,38,5,273,A02_53_201608,23,A02_37_201606,1
百事特童裝,1000,服飾/鞋/精品,儀大/百事特,0.236842105263158,37,3,57,A08_45_201606,7,A08_45_201606,1
Lays樂事美國經典原味洋芋片(袋),500,超市/量販,7-11,0.286144578313253,40,2,166,A02_49_201610,20,A02_49_201610,1
原燒優質原味套餐乙份,12217,餐飲,王品集團,0.234126984126984,43,5,252,A02_74_201610,23,A02_74_201608,1
中華電信,1000,3C通訊家電,中華電信,0.26578811369509,37,3,9675,A08_52_201606,1,A08_52_201606,1
南紡夢時代,1000,百貨,夢時代,0.231884057971014,36,3,69,A08_37_201606,5,A08_37_201606,1
CITYCAFE大熱美式,750,超市/量販,7-11,0,36,3,1,A12_33_201606,20,A12_33_201606,1
王品牛排$1485套餐乙份,24300,餐飲,王品集團,0.275577557755776,43,5,1818,A02_85_201608,23,A02_55_201606,1
台灣高鐵紅利購票優惠(台北-台南),3200,交通/運輸,台鐵,0.262070105820106,37,5,3024,A03_14_201606,3,A03_14_201606,1
35元飲品任選一,617,餐飲,85度C,0.217821782178218,39,3,909,A02_6_201608,23,A02_3_201606,1
國壽機場旅平險,1000,旅遊,國壽,0.281746031746032,37,3,126,A08_76_201606,11,A08_76_201606,1
可樂旅遊,1000,旅遊,可樂旅遊,0.273255813953488,38,3,86,A08_77_201606,11,A08_77_201606,1
海洋珍珠堡+冰紅茶(L),1933,餐飲,摩斯漢堡,0.237044145873321,39,4,521,A02_45_201608,23,A02_32_201606,1
現金抵用券100元,1667,超市/量販,7-11,0.238850920884976,41,4,8633,A12_37_201606,20,A12_37_201606,1
PChome線上購物,1000,一般購物(其他),PChome線上購物,0.396875,37,3,160,A08_62_201606,14,A08_62_201606,1
碳燒鐵觀音(大杯),1033,餐飲,喜客券翰林茶棧 ,0.319209039548023,39,4,177,A02_12_201608,23,A02_12_201608,1
宇宙光,1000,捐獻,宇宙光,0.3125,35,3,24,A08_49_201606,10,A08_49_201606,1
夢時代,1000,百貨,夢時代,0.338983050847458,34,3,177,A08_33_201606,5,A08_33_201606,1
西堤牛排$570套餐乙份,9367,餐飲,王品集團,0.219464977120732,43,5,2841,A02_71_201608,23,A02_51_201606,1
CITYCAFE中冰拿鐵,750,超市/量販,7-11,0,30,3,2,A12_30_201606,20,A12_30_201606,1
比漾廣場商品券,8000,百貨,比漾廣場,0.272207563764292,41,5,1137,A07_3_201606,5,A07_3_201606,1
美體小舖,1000,美容/美髮/保養,美體小舖,0.122950819672131,37,3,61,A08_44_201606,9,A08_44_201606,1
北海鱈魚香絲(中),417,超市/量販,7-11,0.223809523809524,43,2,420,A12_14_201606,20,A12_14_201606,1
聖德科斯,1000,超市/量販,聖德科斯,0.263636363636364,42,3,55,A08_40_201606,20,A08_40_201606,1
日本湖池屋卡辣姆久洋芋片(袋),417,超市/量販,7-11,0.265714285714286,36,2,175,A02_45_201610,20,A02_45_201610,1
大買家網路量販店,1000,超市/量販,大買家,0.238095238095238,40,3,42,A08_70_201606,20,A08_70_201606,1
CITYCAFE大熱拿鐵,917,超市/量販,7-11,0.211640211640212,41,3,2079,A12_34_201606,20,A12_34_201606,1
欣欣大眾百貨公司,1000,百貨,欣欣大眾百貨公司,0.333333333333333,34,3,33,A08_19_201606,5,A08_19_201606,1
點水樓$200元餐飲抵用券乙張,3233,餐飲,點水樓,0.261904761904762,44,5,84,A02_96_201610,23,A02_96_201610,1
高雄國賓i River 愛河牛排海鮮自助餐廳(平日晚餐吃到飽)特別優惠組,14804,飯店/住宿,國賓大飯店,0.313008130081301,41,5,246,A02_99_201610,21,A02_99_201610,1
1000元即享券乙份,16717,餐飲,Carrefour家樂福,0.225460122699387,45,5,978,A02_80_201608,23,A02_80_201608,1
下午茶鬆餅組 (中杯本日咖啡+鬆餅),2267,餐飲,喜客券伯朗咖啡館 ,0.223076923076923,41,5,325,A02_52_201608,23,A02_52_201608,1
長榮航空里程,1000,旅遊,長榮航空,0.295335885833623,36,3,5746,A03_1_201606,11,A03_1_201606,1
中華電信,1000,公共事業費用,中華電信,0.26578811369509,37,3,9675,A06_1_201606,17,A06_1_201606,1
黑咖啡(M) 乙杯,700,餐飲,cama cafe,0.258982035928144,39,3,334,A02_7_201608,23,A02_7_201608,1
CITYCAFE中熱拿鐵,750,超市/量販,7-11,0.205635195254572,40,3,2023,A12_31_201606,20,A12_31_201606,1
台灣高鐵紅利購票優惠(台北-高雄),3600,交通/運輸,台鐵,0.298829990448902,37,5,4188,A03_13_201606,3,A03_13_201606,1
6塊炸雞桶+2杯可樂(小)乙份,5733,餐飲,KFC,0.262762762762763,39,5,333,A02_89_201610,23,A02_47_201606,1
ATT4FUN,1000,百貨,ATT4FUN,0.277777777777778,32,3,144,A08_15_201606,5,A08_15_201606,1
生活泡沬綠茶TP300,167,超市/量販,7-11,0.282835820895522,41,1,670,A12_4_201606,20,A12_4_201606,1
60元飲品乙杯,1033,餐飲,丹堤咖啡,0.23695652173913,41,4,230,A02_10_201608,23,A02_8_201606,1
頂好超市,1000,超市/量販,頂好,0.302013422818792,41,3,149,A08_39_201606,20,A08_39_201606,1
漢神巨蛋店,1000,百貨,漢神,0.270334928229665,36,3,209,A08_32_201606,5,A08_32_201606,1
百吉棒棒冰-蘇打,250,超市/量販,7-11,0.209635416666667,44,1,384,A12_8_201606,20,A12_8_201606,1
CITYCAFE中熱美式,583,超市/量販,7-11,0.2203125,45,3,1280,A12_26_201606,20,A12_26_201606,1
超值早餐39元現金抵用券,650,超市/量販,7-11,0.241184767277856,41,3,709,A12_39_201606,20,A12_39_201606,1
咖哩豚肉丼套餐乙份(飲品五選一+小菜三選一),2483,餐飲,吉野家,0.292270531400966,42,5,207,A02_54_201608,23,A02_38_201606,1
CITYCAFE熱巧克力,750,超市/量販,7-11,0.182674199623352,43,3,531,A12_32_201606,20,A12_32_201606,1
CITYCAFE中冰美式,583,超市/量販,7-11,0.26465661641541,41,3,1194,A12_25_201606,20,A12_25_201606,1
勤美誠品綠園道,1000,百貨,誠品,0.295833333333333,33,3,120,A08_25_201606,5,A08_25_201606,1
Yahoo 購物中心,1000,一般購物(其他),Yahoo 購物,0.217142857142857,35,3,175,A08_61_201606,14,A08_61_201606,1
BBQ烤雞8塊(四腿四翅)乙份,2983,餐飲,PizzaHut,0.189759036144578,41,5,166,A02_57_201608,23,A02_42_201606,1
美式咖啡-大/熱,1567,餐飲,喜客券伯朗咖啡館 ,0.254545454545455,43,4,110,A02_32_201608,23,A02_32_201608,1
現金抵用券30元,500,超市/量販,7-11,0.21250662427133,42,2,1887,A12_36_201606,20,A12_36_201606,1
大都會衛星車隊,20,交通/運輸,大都會衛星車隊,0.336327345309381,34,1,501,A03_11_201606,3,A03_11_201606,1
曼都髮型100元服務抵用券乙張,1667,美容/美髮/保養,曼都髮型,0.196261682242991,36,4,107,A02_95_201610,9,A02_95_201610,1
麗嬰房,1000,服飾/鞋/精品,麗嬰房,0.232558139534884,34,3,129,A08_46_201606,7,A08_46_201606,1
35元甜甜圈任選(六入)乙份,3483,餐飲,Mister Donut,0.249287749287749,38,5,351,A02_62_201608,23,A02_44_201606,1
